Rank,Player,Yds,Years,Tm
1,Tom Brady,"89,214",2000-2022,2TM
2,Drew Brees,"80,358",2001-2020,2TM
3,Peyton Manning+,"71,940",1998-2015,2TM
4,Brett Favre+,"71,838",1991-2010,4TM
5,Ben Roethlisberger,"64,088",2004-2021,pit
6,Philip Rivers,"63,440",2004-2020,2TM
7,Matt Ryan,"62,792",2008-2022,2TM
8,Dan Marino+,"61,361",1983-1999,mia
9,Aaron Rodgers,"59,055",2005-2023,2TM
10,Eli Manning,"57,023",2004-2019,nyg
11,Matthew Stafford,"53,990",2009-2023,2TM
12,John Elway+,"51,475",1983-1998,den
13,Warren Moon+,"49,325",1984-2000,4TM
14,Fran Tarkenton+,"47,003",1961-1978,2TM
15,Carson Palmer,"46,247",2004-2017,3TM
16,Vinny Testaverde,"46,233",1987-2007,7TM
17,Drew Bledsoe,"44,611",1993-2006,3TM
18,Dan Fouts+,"43,040",1973-1987,sdg
19,Joe Flacco,"42,320",2008-2022,3TM
20,Russell Wilson,"42,082",2012-2023,2TM
21,Kerry Collins,"40,922",1995-2011,6TM
22,Joe Montana+,"40,551",1979-1994,2TM
23,Johnny Unitas+,"40,239",1956-1973,2TM
24,Kirk Cousins,"39,197",2012-2023,2TM
25,Andy Dalton,"38,511",2011-2023,5TM
26,Dave Krieg,"38,147",1980-1998,6TM
27,Boomer Esiason,"37,920",1984-1997,3TM
28,Donovan McNabb,"37,276",1999-2011,3TM
29,Derek Carr,"36,822",2014-2023,2TM
30,Matt Hasselbeck,"36,638",1999-2015,4TM
31,Alex Smith,"35,650",2005-2020,3TM
32,Jim Kelly+,"35,467",1986-1996,buf
33,Jay Cutler,"35,133",2006-2017,3TM
34,Ryan Fitzpatrick,"34,990",2005-2021,9TM
35,Jim Everett,"34,837",1986-1997,3TM
36,Jim Hart,"34,665",1966-1984,2TM
37,Ryan Tannehill,"34,393",2012-2023,2TM
38,Steve DeBerg,"34,241",1978-1998,6TM
39,Tony Romo,"34,183",2004-2016,dal
40,John Hadl,"33,503",1962-1977,4TM
41,Phil Simms,"33,462",1979-1993,nyg
42,Steve Young+,"33,124",1985-1999,2TM
43,Y.A. Tittle+,"33,070",1948-1964,3TM
44,Troy Aikman+,"32,942",1989-2000,dal
45,Ken Anderson,"32,838",1971-1986,cin
46,Cam Newton,"32,382",2011-2021,2TM
47,Kurt Warner+,"32,344",1998-2009,3TM
48,Sonny Jurgensen+,"32,224",1957-1974,2TM
49,Mark Brunell,"32,072",1994-2011,5TM
50,John Brodie,"31,548",1957-1973,sfo
51,Steve McNair,"31,304",1995-2007,2TM
52,Norm Snead,"30,797",1961-1976,5TM
53,Randall Cunningham,"29,979",1985-2001,4TM
54,Joe Ferguson,"29,817",1973-1990,4TM
55,Jon Kitna,"29,745",1997-2011,4TM
56,Roman Gabriel,"29,444",1962-1977,2TM
57,Jake Plummer,"29,253",1997-2006,2TM
58,Brad Johnson,"29,054",1994-2008,4TM
59,Rich Gannon,"28,743",1987-2004,4TM
60,Len Dawson+,"28,711",1957-1975,3TM
61,Chris Chandler,"28,484",1988-2004,7TM
62,Trent Green,"28,475",1997-2008,4TM
63,Ron Jaworski,"28,190",1974-1989,4TM
64,Terry Bradshaw+,"27,989",1970-1983,pit
65,Ken Stabler+,"27,938",1970-1984,3TM
66,Craig Morton,"27,908",1965-1982,3TM
67,Jared Goff,"27,756",2016-2023,2TM
68,Joe Namath+,"27,663",1965-1977,2TM
