,,,Misc,,,,,,Games,,Rushing,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Att,Yds,TD,Lng
Walter Payton,214.61,1,5,9,13,1975,1987,127,190,184,3838,16726,110,76
Jim Brown,182.79,1,8,9,9,1957,1965,108,118,118,2359,12312,106,80
Barry Sanders,177.55,0,6,10,10,1989,1998,120,153,151,3062,15269,99,85
Emmitt Smith,176.48,3,4,8,14,1990,2004,129,226,219,4409,18355,164,75
LaDainian Tomlinson,136.5,0,3,5,10,2001,2011,129,170,155,3174,13684,145,85
O.J. Simpson,135.98,0,5,6,11,1969,1979,98,135,129,2404,11236,61,94
Eric Dickerson,132.25,0,5,6,10,1983,1993,92,146,136,2996,13259,90,85
Adrian Peterson,125.67,0,4,7,12,2007,2021,101,184,167,3230,14918,120,90
Marshall Faulk,111.6,1,3,7,11,1994,2005,132,176,156,2836,12279,100,71
Average HOF RB,107,1,3,6,10,,,95,151,137,2552,10991,86,76
Terrell Davis,100.1,2,3,3,5,1995,2001,73,78,77,1655,7607,60,71
Frank Gore,100.05,0,0,5,14,2005,2020,94,241,218,3735,16000,81,80
Lenny Moore,99.85,2,5,7,10,1956,1967,61,143,118,1069,5174,63,79
Edgerrin James,99.13,0,1,4,9,1999,2009,113,148,135,3028,12246,80,72
Thurman Thomas,97.95,0,2,5,10,1988,2000,110,182,160,2877,12074,65,80
Franco Harris,97.35,4,1,9,12,1972,1984,103,173,162,2949,12120,91,75
Marcus Allen,94.24,1,2,6,12,1982,1997,104,222,168,3022,12243,123,61
Earl Campbell,93.65,0,3,5,7,1978,1985,67,115,102,2187,9407,74,81
Jim Taylor,90.63,4,1,5,9,1958,1967,84,133,118,1941,8597,83,84
Gale Sayers,88.43,0,5,4,5,1965,1971,60,68,65,991,4956,39,70
LeSean McCoy,82.84,2,2,6,10,2009,2020,83,170,141,2457,11102,73,75
Curtis Martin,80.21,0,1,5,11,1995,2005,102,168,166,3518,14101,90,70
Leroy Kelly,79.55,1,3,6,8,1964,1973,87,136,110,1727,7274,74,70
Tony Dorsett,77.9,1,1,4,11,1977,1988,107,173,152,2936,12739,77,99
Roger Craig,77.48,3,1,4,9,1983,1993,95,165,133,1991,8189,56,71
Jerome Bettis,75.94,1,2,6,12,1993,2005,81,192,153,3479,13662,91,71
John Riggins,69.59,1,1,1,12,1971,1985,90,175,159,2916,11352,104,66
Marshawn Lynch,69.14,1,1,5,8,2007,2019,74,149,135,2453,10413,85,79
Paul Hornung,68.63,4,2,2,8,1957,1966,45,104,88,893,3711,50,72
Cookie Gilchrist,66.3,1,3,4,4,1962,1967,42,65,62,1010,4293,37,67
Ricky Watters,64.39,1,0,5,9,1992,2001,100,144,142,2622,10643,78,57
Darren Sproles,63.55,1,0,3,1,2005,2019,62,183,31,732,3552,23,49
Shaun Alexander,62.38,0,1,3,7,2000,2008,68,123,96,2187,9453,100,88
Larry Brown,61.6,0,2,4,6,1969,1976,81,102,84,1530,5875,35,75
Tiki Barber,58,0,1,3,7,1997,2006,103,154,109,2217,10449,55,95
Priest Holmes,55.65,1,3,3,5,1997,2007,82,113,82,1780,8172,86,72
Warrick Dunn,54.94,0,0,3,10,1997,2008,96,181,154,2669,10967,49,90
Jamal Lewis,53.49,1,1,1,9,2000,2009,69,131,126,2542,10607,58,82
Fred Taylor,53.4,0,0,1,9,1998,2010,88,153,137,2534,11695,66,80
Larry Csonka,52.65,2,2,5,11,1968,1979,75,146,141,1891,8081,64,54
Corey Dillon,51.93,1,0,4,9,1997,2006,74,150,132,2618,11241,82,96
John David Crow,51.9,0,0,4,9,1958,1968,62,125,116,1157,4963,38,83
Ottis Anderson,51.42,2,1,2,9,1979,1992,80,182,125,2562,10273,81,76
Eddie George,46.66,0,1,4,8,1996,2004,76,141,136,2865,10441,68,76
Steven Jackson,46.64,0,0,3,10,2004,2015,75,160,147,2764,11438,69,59
Chuck Foreman,46.48,0,1,5,6,1973,1980,78,109,84,1556,5950,53,51
Lydell Mitchell,46.45,0,0,3,6,1972,1980,89,111,84,1675,6534,30,70
Calvin Hill,46.1,1,1,4,6,1969,1981,71,156,80,1452,6083,42,55
