Rank,Player,Y/G,Years,Tm
1,Justin Jefferson,98.1,2020-2023,min
2,Julio Jones,87.9,2011-2022,3TM
3,Ja'Marr Chase,87.3,2021-2023,cin
4,Calvin Johnson+,86.1,2007-2015,det
5,Antonio Brown,84.2,2010-2021,3TM
6,Michael Thomas,81.6,2016-2023,nor
7,Cooper Kupp,80.4,2017-2023,ram
8,Tyreek Hill,80.3,2016-2023,2TM
9,A.J. Brown,78.2,2019-2023,2TM
10,Torry Holt,77.4,1999-2009,2TM
11,DeAndre Hopkins,77.3,2013-2023,3TM
12,Marvin Harrison+,76.7,1996-2008,clt
13,Mike Evans,76.1,2014-2023,tam
14,Jerry Rice+,75.6,1985-2004,3TM
15,Lance Alworth+,75.5,1962-1972,2TM
,Stefon Diggs,75.5,2015-2023,2TM
17,Michael Irvin+,74.9,1988-1999,dal
,Keenan Allen,74.9,2013-2023,sdg
19,Odell Beckham Jr.,74.8,2014-2023,4TM
20,Andre Johnson,73.5,2003-2016,3TM
21,Terrell Owens+,72.8,1996-2010,5TM
22,Davante Adams,72.7,2014-2023,2TM
23,Sterling Sharpe,72.6,1988-1994,gnb
24,Charley Hennigan,71.8,1960-1966,oti
25,Travis Kelce,71.7,2013-2023,kan
26,CeeDee Lamb,70.4,2020-2023,dal
27,Jaylen Waddle,70.2,2021-2023,mia
28,Randy Moss+,70.1,1998-2012,5TM
29,Jimmy Smith,69,1992-2005,2TM
,Brandon Marshall,69,2006-2018,6TM
31,Don Hutson+,68.9,1935-1945,gnb
32,Art Powell,68.8,1959-1968,5TM
33,Demaryius Thomas,68.3,2010-2019,3TM
34,Anquan Boldin,68.2,2003-2016,4TM
,Isaac Bruce+,68.2,1994-2009,2TM
36,Reggie Wayne,68,2001-2014,clt
37,Calvin Ridley,67.4,2018-2023,2TM
38,Steve Smith Sr.,67.3,2001-2016,2TM
39,D.J. Moore,67.2,2018-2023,2TM
,T.Y. Hilton,67.2,2012-2022,2TM
41,Terry McLaurin,67,2019-2023,was
42,Marques Colston,66.8,2006-2015,nor
43,Chad Johnson,66.6,2001-2011,2TM
44,A.J. Green,66.5,2011-2022,2TM
,Amon-Ra St. Brown,66.5,2021-2023,det
,Larry Fitzgerald,66.5,2004-2020,crd
47,Amari Cooper,66.2,2015-2023,3TM
48,Steve Largent+,65.4,1976-1989,sea
49,Chris Godwin,65.2,2017-2023,tam
50,Mac Speedie+,65.1,1946-1952,cle
51,Gary Clark,65,1985-1995,3TM
,Victor Cruz,65,2010-2016,nyg
53,Rob Gronkowski,64.9,2010-2021,2TM
54,Terry Glenn,64.4,1996-2007,3TM
55,D.K. Metcalf,64.2,2019-2023,sea
56,Mike Quick,64,1982-1990,phi
57,Brandin Cooks,63.7,2014-2023,5TM
58,Don Maynard+,63.6,1958-1973,3TM
