Rank,Player,Y/G,Years,Tm
1,Jim Brown+,104.3,1957-1965,cle
2,Barry Sanders+,99.8,1989-1998,det
3,Terrell Davis+,97.5,1995-2001,den
4,Eric Dickerson+,90.8,1983-1993,4TM
5,Walter Payton+,88,1975-1987,chi
6,Clinton Portis,87.8,2002-2010,2TM
7,Jonathan Taylor,86.2,2020-2023,clt
8,Billy Sims,85.1,1980-1984,det
9,Nick Chubb,84.6,2018-2023,cle
10,Curtis Martin+,83.9,1995-2005,2TM
11,O.J. Simpson+,83.2,1969-1979,2TM
12,Edgerrin James+,82.7,1999-2009,3TM
13,Earl Campbell+,81.8,1978-1985,2TM
14,Arian Foster,81.6,2009-2016,2TM
15,Emmitt Smith+,81.2,1990-2004,2TM
16,Derrick Henry,81.1,2016-2023,oti
,Adrian Peterson,81.1,2007-2021,7TM
18,Jamal Lewis,81,2000-2009,2TM
19,LaDainian Tomlinson+,80.5,2001-2011,2TM
20,Domanick Williams,79.9,2003-2005,htx
21,George Rogers,78,1981-1987,2TM
22,Ezekiel Elliott,77.6,2016-2023,2TM
23,Dalvin Cook,77.2,2017-2023,2TM
24,Shaun Alexander,76.9,2000-2008,2TM
25,Josh Jacobs,76.5,2019-2023,rai
26,Fred Taylor,76.4,1998-2010,2TM
27,Corey Dillon,74.9,1997-2006,2TM
28,Chris Johnson,74.2,2008-2017,3TM
29,Eddie George,74,1996-2004,2TM
30,Ricky Watters,73.9,1992-2001,3TM
31,Tony Dorsett+,73.6,1977-1988,2TM
32,Larry Johnson,73.2,2003-2011,4TM
,Bo Jackson,73.2,1987-1990,rai
34,Gale Sayers+,72.9,1965-1971,chi
35,DeMarco Murray,72.5,2011-2017,3TM
36,Priest Holmes,72.3,1997-2007,2TM
37,Steven Jackson,71.5,2004-2015,3TM
,Chris Carson,71.5,2017-2021,sea
39,Jerome Bettis+,71.2,1993-2005,2TM
40,Saquon Barkley,70.7,2018-2023,nyg
41,Steve Van Buren+,70.6,1944-1951,phi
42,Franco Harris+,70.1,1972-1984,2TM
43,Marshawn Lynch,69.9,2007-2019,3TM
44,Marshall Faulk+,69.8,1994-2005,2TM
45,Robert Smith,69.6,1993-2000,min
46,Todd Gurley,69.1,2015-2020,2TM
47,William Andrews,68.8,1979-1986,atl
48,Curt Warner,68.4,1983-1990,2TM
49,Le'Veon Bell,68.3,2013-2021,5TM
50,Ricky Williams,68.1,1999-2011,3TM
,Willie Parker,68.1,2004-2009,pit
52,Tiki Barber,67.9,1997-2006,nyg
53,Travis Henry,67.6,2001-2007,3TM
54,Ray Rice,67.2,2008-2013,rav
55,Matt Forte,67.1,2008-2017,2TM
56,Joe Mixon,66.8,2017-2023,cin
57,Frank Gore,66.4,2005-2020,5TM
58,Thurman Thomas+,66.3,1988-2000,2TM
,Rodney Hampton,66.3,1990-1997,nyg
,Terry Allen,66.3,1991-2001,5TM
61,Cookie Gilchrist,66,1962-1967,3TM
62,LeSean McCoy,65.3,2009-2020,4TM
63,Christian McCaffrey,65.2,2017-2023,2TM
