Rank,Player,Yds,Years,Tm
1,Emmitt Smith+,"18,355",1990-2004,2TM
2,Walter Payton+,"16,726",1975-1987,chi
3,Frank Gore,"16,000",2005-2020,5TM
4,Barry Sanders+,"15,269",1989-1998,det
5,Adrian Peterson,"14,918",2007-2021,7TM
6,Curtis Martin+,"14,101",1995-2005,2TM
7,LaDainian Tomlinson+,"13,684",2001-2011,2TM
8,Jerome Bettis+,"13,662",1993-2005,2TM
9,Eric Dickerson+,"13,259",1983-1993,4TM
10,Tony Dorsett+,"12,739",1977-1988,2TM
11,Jim Brown+,"12,312",1957-1965,cle
12,Marshall Faulk+,"12,279",1994-2005,2TM
13,Edgerrin James+,"12,246",1999-2009,3TM
14,Marcus Allen+,"12,243",1982-1997,2TM
15,Franco Harris+,"12,120",1972-1984,2TM
16,Thurman Thomas+,"12,074",1988-2000,2TM
17,Fred Taylor,"11,695",1998-2010,2TM
18,Steven Jackson,"11,438",2004-2015,3TM
19,John Riggins+,"11,352",1971-1985,2TM
20,Corey Dillon,"11,241",1997-2006,2TM
21,O.J. Simpson+,"11,236",1969-1979,2TM
22,LeSean McCoy,"11,102",2009-2020,4TM
23,Warrick Dunn,"10,967",1997-2008,2TM
24,Ricky Watters,"10,643",1992-2001,3TM
25,Jamal Lewis,"10,607",2000-2009,2TM
26,Thomas Jones,"10,591",2000-2011,5TM
27,Tiki Barber,"10,449",1997-2006,nyg
28,Eddie George,"10,441",1996-2004,2TM
29,Marshawn Lynch,"10,413",2007-2019,3TM
30,Ottis Anderson,"10,273",1979-1992,2TM
31,Ricky Williams,"10,009",1999-2011,3TM
32,Clinton Portis,"9,923",2002-2010,2TM
33,Matt Forte,"9,796",2008-2017,2TM
34,Joe Perry+,"9,723",1948-1963,2TM
35,Chris Johnson,"9,651",2008-2017,3TM
36,Shaun Alexander,"9,453",2000-2008,2TM
37,Earl Campbell+,"9,407",1978-1985,2TM
38,Ahman Green,"9,205",1998-2009,3TM
39,Derrick Henry,"8,936",2016-2023,oti
40,Terry Allen,"8,614",1991-2001,5TM
41,Jim Taylor+,"8,597",1958-1967,2TM
42,Ezekiel Elliott,"8,522",2016-2023,2TM
43,Willis McGahee,"8,474",2004-2013,4TM
44,Earnest Byner,"8,261",1984-1997,3TM
45,Herschel Walker,"8,225",1986-1997,4TM
46,Roger Craig,"8,189",1983-1993,3TM
47,Gerald Riggs,"8,188",1982-1991,2TM
48,Priest Holmes,"8,172",1997-2007,2TM
49,Maurice Jones-Drew,"8,167",2006-2014,2TM
50,Mark Ingram,"8,111",2011-2022,3TM
51,DeAngelo Williams,"8,096",2006-2016,2TM
52,Larry Csonka+,"8,081",1968-1979,2TM
53,Freeman McNeil,"8,074",1981-1992,nyj
54,Stephen Davis,"8,052",1996-2006,3TM
55,Garrison Hearst,"7,966",1993-2004,4TM
56,James Brooks,"7,962",1981-1992,4TM
57,Chris Warren,"7,696",1990-2000,3TM
58,Terrell Davis+,"7,607",1995-2001,den
59,Jamaal Charles,"7,563",2008-2018,3TM
60,Mike Pruitt,"7,378",1976-1986,3TM
61,Michael Turner,"7,338",2004-2012,2TM
62,Jonathan Stewart,"7,335",2008-2018,2TM
63,Leroy Kelly+,"7,274",1964-1973,cle
64,George Rogers,"7,176",1981-1987,2TM
65,DeMarco Murray,"7,174",2011-2017,3TM
66,Charlie Garner,"7,097",1994-2004,4TM
