,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Tony Gonzalez,195.43,0,6,14,16,1997,2013,95,270,254,1325,15127,111,73
Rob Gronkowski,123.72,4,4,5,11,2010,2021,78,143,128,621,9286,92,76
Shannon Sharpe,114.25,3,4,8,12,1990,2003,82,204,169,815,10060,62,82
Antonio Gates,113.63,0,3,8,12,2003,2018,93,236,190,955,11841,116,72
Dave Casper,111.62,2,4,5,6,1974,1984,52,147,100,378,5216,52,52
Travis Kelce,109.1,2,4,8,9,2013,2023,82,149,142,850,10690,72,80
Jason Witten,104.72,0,2,11,16,2003,2020,80,271,252,1228,13046,74,69
Average HOF TE,97,1,3,6,10,,,66,174,148,588,7656,52,72
Kellen Winslow,96.36,0,3,5,7,1979,1987,63,109,94,541,6741,45,67
Ozzie Newsome,80.75,0,1,3,13,1978,1990,59,198,191,662,7980,47,74
Jackie Smith,78.04,0,0,5,13,1963,1978,74,210,162,480,7918,40,81
John Mackey,76.52,1,3,5,8,1963,1972,58,139,118,331,5236,38,89
Pete Retzlaff,71.54,1,1,5,10,1956,1966,59,132,118,452,7412,47,84
Mike Ditka,62.59,2,2,5,7,1961,1972,56,158,118,427,5812,43,76
Charlie Sanders,61.58,0,2,7,9,1968,1977,52,128,122,336,4817,31,54
Todd Christensen,59.84,2,2,5,6,1979,1988,50,137,90,461,5872,41,50
Riley Odoms,55.31,0,2,4,10,1972,1983,54,153,134,396,5755,41,48
Jimmy Graham,50.81,0,1,5,10,2010,2023,61,190,133,714,8514,86,59
Jerry Smith,50.4,0,1,2,10,1965,1977,56,168,134,421,5496,60,56
Rich Caster,49.81,1,0,3,8,1970,1982,55,161,119,322,5515,45,91
Raymond Chester,46.5,1,0,4,10,1970,1981,52,172,131,364,5013,48,78
Ben Coates,46.1,1,2,5,7,1991,2000,43,158,114,499,5555,50,84
Charle Young,44.3,1,1,3,10,1973,1985,47,187,142,418,5106,27,80
Greg Olsen,43.95,0,0,3,11,2007,2020,60,199,170,742,8683,60,78
Russ Francis,42.94,1,0,3,11,1975,1988,46,167,148,393,5262,40,53
Bob Tucker,40.13,0,0,0,10,1970,1980,51,156,142,422,5421,27,63
Bob Trumpy,39.6,0,1,4,10,1968,1977,49,128,122,298,4600,35,80
Keith Jackson,38.55,1,3,5,7,1988,1996,43,129,105,441,5283,49,73
Jimmie Giles,38.08,0,0,4,9,1977,1989,40,188,131,350,5084,41,81
Jay Novacek,37.93,3,1,5,6,1985,1995,44,158,94,422,4630,30,49
Brent Jones,36.85,3,0,4,9,1987,1997,50,143,125,417,5195,33,69
Jeremy Shockey,36.73,2,1,4,10,2002,2011,48,136,129,547,6143,37,66
Mickey Shuler,36.28,0,0,2,7,1978,1991,42,180,107,462,5100,37,51
Billy Cannon,33.25,2,2,2,8,1960,1970,53,133,103,236,3656,47,78
Steve Jordan,33.03,0,0,6,10,1982,1994,48,176,149,498,6307,28,68
Jerome Barkum,32.57,0,0,1,10,1972,1983,42,158,137,326,4789,40,63
Aaron Thomas,32.31,0,0,1,4,1961,1970,46,133,87,262,4554,37,71
Milt Morin,32.26,0,0,2,8,1966,1975,48,129,98,271,4208,16,87
Vernon Davis,32.14,1,0,2,11,2006,2019,51,198,179,583,7562,63,73
Mark Bavaro,31.78,2,2,2,8,1985,1994,40,126,123,351,4733,39,61
Dallas Clark,31.65,1,1,1,9,2003,2013,51,143,118,505,5665,53,80
Zach Ertz,31.18,1,0,3,7,2013,2023,49,150,112,706,7415,46,60
Wesley Walls,31.13,1,0,5,9,1989,2003,43,196,116,450,5291,54,54
Fred Arbanas,29.7,2,3,5,9,1962,1970,33,118,116,198,3101,34,67
Heath Miller,29.68,2,0,2,11,2005,2015,45,168,167,592,6569,45,87
George Kittle,29.25,0,1,4,5,2017,2023,42,88,80,413,5470,34,85
Paul Coffman,29.05,0,0,3,7,1978,1988,35,154,103,339,4340,42,78
Jim Mitchell,28.99,0,0,2,11,1969,1979,39,155,155,305,4358,28,52
Billy Joe DuPree,27.24,1,0,3,8,1973,1983,40,159,131,267,3565,41,42
Jared Cook,27.13,0,0,2,5,2009,2021,48,194,99,553,7237,45,80
Alge Crumpler,26.65,0,0,4,10,2001,2010,41,155,132,373,4743,39,63
Mark Andrews,26.25,0,1,3,1,2018,2023,39,82,37,360,4607,37,74
Dave Kocourek,25.85,1,0,4,6,1960,1968,42,115,86,249,4090,24,76
Frank Wycheck,25.85,0,0,3,9,1993,2003,43,155,135,505,5126,28,42
Owen Daniels,25.35,1,0,2,9,2006,2015,41,131,125,479,5661,36,44
Ron Kramer,25.2,2,1,1,8,1957,1967,34,128,99,229,3272,16,68
David Hill,25.17,0,0,2,10,1976,1987,34,176,144,358,4212,28,61
Rodney Holman,24.7,0,0,3,9,1982,1995,40,212,146,365,4771,36,73
Todd Heap,24.6,0,0,2,8,2001,2012,43,145,131,499,5869,42,65
Delanie Walker,23.98,0,0,3,7,2006,2019,39,183,100,504,5888,36,68
Ted Kwalick,23.95,1,1,3,3,1969,1977,30,108,43,168,2570,23,81
Johnny Brewer,23.33,1,0,1,8,1961,1970,40,135,106,89,1256,6,55
Ben Watson,22.18,1,0,0,11,2004,2019,40,205,143,547,6058,44,46
Doug Cosbie,22.11,0,0,3,6,1979,1988,32,144,89,300,3728,30,61
Martellus Bennett,21.08,1,0,1,8,2008,2017,35,144,107,433,4573,30,58
Kyle Rudolph,20.9,0,0,2,10,2011,2022,36,165,145,482,4773,50,60
Ken Dilger,20.88,1,0,1,10,1995,2004,35,156,150,356,4099,24,51
Kellen Winslow,20.15,0,0,1,5,2004,2013,37,105,83,469,5236,25,49
Chris Cooley,19.78,0,0,2,6,2004,2012,34,117,103,429,4711,33,66
Marv Fleming,19.65,5,0,0,9,1963,1974,19,162,123,157,1823,16,53
Brent Celek,19.28,1,0,0,9,2007,2017,35,175,132,398,4998,31,73
Dan Ross,19.18,0,0,1,6,1979,1986,35,104,87,290,3419,19,41
Marcedes Lewis,18.9,0,0,1,15,2006,2023,35,257,222,433,5092,39,63
Bennie Cunningham,18.85,2,0,0,6,1976,1985,30,118,80,202,2879,20,48
Eric Green,18.85,0,0,2,6,1990,1999,32,120,103,362,4390,36,71
Henry Childs,18.45,0,0,1,5,1974,1984,34,103,73,223,3401,28,59
Willie Frazier,18.38,0,1,3,4,1964,1975,32,121,64,209,3088,36,80
Marcus Pollard,18.03,0,0,0,9,1995,2008,36,192,135,349,4280,40,86
Mark Chmura,17.6,1,0,3,4,1993,1999,22,89,62,188,2253,17,33
Zach Miller,17.43,1,0,1,7,2007,2014,28,110,106,328,3804,20,86
Chad Lewis,17.4,1,0,3,5,1997,2005,22,116,77,229,2361,23,52
Don Warren,17.05,3,0,0,14,1979,1992,22,193,181,244,2536,7,35
Jim Mandich,16.93,3,0,0,1,1970,1978,22,119,23,121,1406,23,44
Hoby Brenner,16.83,0,0,1,12,1981,1993,31,175,157,267,3849,21,57
Jermaine Gresham,16.75,0,0,2,9,2010,2018,28,132,118,377,3752,29,55
