,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Jerry Rice,311.99,3,10,13,18,1985,2004,160,303,284,1549,22895,197,96
Randy Moss,150.12,0,4,6,12,1998,2012,124,218,193,982,15292,156,82
Marvin Harrison,147.18,1,3,8,12,1996,2008,123,190,188,1102,14580,128,80
Larry Fitzgerald,141.09,0,1,11,17,2004,2020,93,263,261,1432,17492,121,80
Terrell Owens,140.53,0,5,6,13,1996,2010,121,219,201,1078,15934,153,98
Steve Largent,136.39,0,1,7,14,1976,1989,103,200,197,819,13089,100,74
James Lofton,127.61,0,1,8,14,1978,1993,102,233,212,764,14004,75,80
Lance Alworth,124.85,2,6,7,10,1962,1972,98,136,127,542,10266,85,85
Cris Carter,122.89,0,2,8,13,1987,2002,99,234,209,1101,13899,130,80
Tim Brown,113.31,0,0,9,13,1988,2004,105,255,202,1094,14934,100,80
Reggie Wayne,109.14,1,1,6,13,2001,2014,116,211,197,1070,14345,82,80
Julio Jones,107.77,0,2,7,9,2011,2022,100,155,149,903,13629,63,81
Torry Holt,107.22,1,1,7,11,1999,2009,99,173,158,920,13382,74,85
Antonio Brown,104.48,1,4,7,7,2010,2021,92,146,110,928,12291,83,79
Average HOF WR,104,1,2,6,12,,,95,189,169,748,11532,90,84
Paul Warfield,101.46,3,2,8,11,1964,1977,108,157,152,427,8565,85,86
Isaac Bruce,99.46,1,0,4,13,1994,2009,101,223,201,1024,15208,91,80
Steve Smith Sr.,98.91,0,2,5,14,2001,2016,102,219,198,1031,14731,81,80
Charley Taylor,94.95,0,1,8,12,1964,1977,95,165,157,649,9110,79,88
Andre Johnson,93.91,0,2,7,12,2003,2016,94,193,187,1062,14185,70,77
Michael Irvin,92.36,3,1,5,10,1988,1999,104,159,147,750,11904,65,87
Don Maynard,91.31,1,1,4,13,1958,1973,101,186,159,633,11834,88,87
Charlie Joiner,89.3,0,1,3,15,1969,1986,92,239,211,750,12146,65,87
Art Monk,88.56,3,1,3,14,1980,1995,90,224,194,940,12721,68,79
Raymond Berry,86.89,2,3,6,13,1955,1967,61,154,140,631,9275,68,70
Del Shofner,84.75,0,5,5,9,1957,1967,49,125,104,349,6470,51,92
Henry Ellard,84.3,0,2,3,14,1983,1998,97,228,199,814,13777,65,81
Calvin Johnson,84.19,0,3,6,9,2007,2015,78,135,130,731,11619,83,96
Drew Pearson,84.14,1,3,3,10,1973,1983,78,156,143,489,7822,48,67
Andre Reed,82.41,0,0,7,14,1985,2000,98,234,217,951,13198,87,83
Harold Jackson,81.24,0,1,5,13,1968,1983,93,208,187,579,10372,76,79
